1,101,43471,43490,,,,,,,,
1,78,43496,43505,,,,,,,,
1,183,43513,43527,,,,,,,,
1,26,43534,43536,,,,,,,,
1,38,43543,43548,,,,,,,,
1,23,43549,43556,,,,,,,,
1,79,43561,43564,,,,,,,,
1,33,43567,43584,,,,,,,,
1,188,43585,43593,,,,,,,,
1,48,43596,43610,,,,,,,,
1,68,43616,43636,,,,,,,,
1,114,43646,43664,,,,,,,,
1,184,43674,43687,,,,,,,,
1,114,43692,43703,,,,,,,,
1,37,43711,43725,,,,,,,,
1,71,43726,43746,,,,,,,,
1,161,43752,43754,,,,,,,,
1,148,43763,43776,,,,,,,,
1,140,43778,43797,,,,,,,,
1,129,43806,43816,,,,,,,,
1,193,43818,43824,,,,,,,,
1,99,43827,43829,,,,,,,,
2,104,43479,43497,,,,,,,,
2,18,43509,43511,,,,,,,,
2,106,43515,43516,,,,,,,,
2,189,43518,43534,,,,,,,,
2,199,43537,43555,,,,,,,,
2,94,43569,43578,,,,,,,,
2,108,43586,43595,,,,,,,,
2,27,43598,43603,,,,,,,,
2,80,43607,43623,,,,,,,,
2,94,43624,43632,,,,,,,,
2,88,43638,43650,,,,,,,,
2,166,43660,43668,,,,,,,,
2,153,43672,43679,,,,,,,,
2,32,43688,43703,,,,,,,,
2,110,43708,43728,,,,,,,,
2,36,43741,43748,,,,,,,,
2,59,43761,43767,,,,,,,,
2,43,43774,43793,,,,,,,,
2,103,43799,43806,,,,,,,,
2,35,43808,43824,,,,,,,,
2,18,43830,0,,,,,,,,
